"n","vare","B","n.supp","k","seed","ghat.CI.1","ghat.CI.2","ghat.CI.3","ghat.CI.4","stde.CI.1","stde.CI.2","stde.CI.3","stde.CI.4","bste.CI.1","bste.CI.2","bste.CI.3","bste.CI.4"
800,0.05,80,5,14,7000049,0.351667149900818,0.620868793860955,0.111832836833215,0.0602716364926828,0.0543362170001401,0.181091932781852,0.120071717813024,0.0899167918272861,0.0563875312288997,0.190180920697836,0.123046352957178,0.092154280878959
800,0.05,80,5,18,7000049,0.388733102137869,0.490938027561334,0.170182848679238,0.0720384827344448,0.0340781446279437,0.0960938829327936,0.0983349648426261,0.0791724465226053,0.0352133156013522,0.104588046415984,0.100055160865736,0.0798437385935669
800,0.05,80,5,2,7000050,0.449275468684301,0.174555464998423,0.179164779269848,0.154457257559315,0.0278352913901317,0.0702276555353304,0.0501554367238561,0.0678414648375166,0.0279840657080287,0.0706614942587288,0.051323000752699,0.0681024008246832
800,0.05,80,5,6,7000050,0.477414541667666,0.116686192814733,0.26578872438074,0.14609030379577,0.0311979047394756,0.060399164905681,0.0717958220492428,0.0690398127555925,0.031638176891469,0.060684773539274,0.0746708335144701,0.0693358333149351
800,0.05,80,5,10,7000050,0.472797973760074,0.149640012880458,0.285634683821517,0.138681273359024,0.0312891638918629,0.0680636528339205,0.071860808121045,0.0701943704782655,0.0318081906158749,0.0683835034526938,0.0759172970379628,0.0705028504464406
800,0.05,80,5,14,7000050,0.471321734408303,0.136247829323849,0.257371734010196,0.142805091790937,0.0300746113254088,0.0626281063487049,0.0671638673345277,0.0688423364971979,0.0304575433668334,0.0629076042608298,0.0700757098292215,0.0691396435786499
800,0.05,80,5,18,7000050,0.450008149974636,0.249065262716,0.290136416101398,0.140539519227054,0.032821521213429,0.0990547056283369,0.0707531973298045,0.0749093354054566,0.033286523629249,0.100277186170355,0.0763197346844082,0.0752449754656748
800,0.05,80,5,2,7000051,0.450266003528117,0.284993289922634,0.233699977443852,0.0971841697783078,0.0353728025082767,0.0642328100370184,0.096043473936785,0.080348645326379,0.0356478118631786,0.0645691079281866,0.0970434368678067,0.0809828124099384
800,0.05,80,5,6,7000051,0.427286604360335,0.444479081892815,0.357145338533888,0.112832410770754,0.0439780334550723,0.103170855268752,0.135800764699719,0.0955627459388677,0.0445299659198367,0.104089471284682,0.137870168213238,0.0967005326034132
800,0.05,80,5,10,7000051,0.429912664464015,0.374916881615662,0.243163848434982,0.102196981260508,0.0376533804564979,0.0810840503145021,0.0980571082142098,0.0840869677182672,0.0379931182237748,0.0816118985463977,0.0991190511314214,0.0848910283519171
800,0.05,80,5,14,7000051,0.426920929556433,0.336530536917746,0.145624337858578,0.0854287779511237,0.0435556068940691,0.0802948728191771,0.116920007316324,0.0800177320579027,0.0440259673637728,0.0809531744979204,0.118273909873348,0.0806205749117428
800,0.05,80,5,18,7000051,0.421167496343029,0.365254691261262,0.144376506870588,0.0835660577800195,0.0434534411560072,0.0861091492389946,0.114431163502322,0.0801003434347627,0.0439284083570222,0.0868748122252593,0.115743217319575,0.0807162577398223
800,0.05,80,5,2,7000052,0.451232196188038,0.133664107447655,0.0684527152400589,0.174543884518621,0.0706009165808184,0.092123660247732,0.267960571778166,0.0808482762946057,0.0732610190739298,0.0949593287581015,0.279420408615408,0.081358892427969
