"n","vare","B","seed","a1","est.OG.1","est.NG.1","est.CG.1","ste.OG.1","ste.NG.1","ste.CG.1","bcs.OG.1","bcs.NG.1","bcs.CG.1"
800,0.56,80,9000005,3,0.335976476628784,0.280826587914509,0.756081868632294,0.026481165401288,0.0214115511748028,0.014122327875951,0.0269390832030934,0.0215972872882925,0.0141408023243983
8000,0.56,80,9000005,3,0.336520082888534,0.290331374961218,0.342668795242584,0.00874515002450518,0.0070768057679223,0.0125370835831839,0.00875857150566147,0.00708182270897518,0.0125551476051013
800,0.67,80,9000005,3,0.335976476628784,0.276184609042521,0.256066622008433,0.026481165401288,0.0208800167729524,0.025171376737713,0.0269390832030934,0.0210412331216536,0.0254072944408729
8000,0.67,80,9000005,3,0.336520082888534,0.285974345180313,0.343661662751656,0.00874515002450518,0.00689368398233625,0.0134854856560989,0.00875857150566147,0.00689801982091015,0.013503650332142
800,0.78,80,9000005,3,0.335976476628784,0.27233150601661,0.362448710167544,0.026481165401288,0.0204210880491339,0.0279907201547182,0.0269390832030934,0.0205616906485441,0.630121794645332
8000,0.78,80,9000005,3,0.336520082888534,0.282331669417135,0.344153709086611,0.00874515002450518,0.00673759908126036,0.0124966791789451,0.00875857150566147,0.00674138752859455,0.0125037909792906
800,0.89,80,9000005,3,0.335976476628784,0.269085859474611,0.345933889172009,0.026481165401288,0.0200213604865775,0.0269545583196985,0.0269390832030934,0.0201445050168608,0.051709860075514
8000,0.89,80,9000005,3,0.336520082888534,0.279242472167359,0.342854309055784,0.00874515002450518,0.00660303208523984,0.0112804088524291,0.00875857150566147,0.00660637384500665,0.011360262250819
800,1,80,9000005,3,0.335976476628784,0.266317538988994,0.345606375679084,0.026481165401288,0.0196705956451399,0.0274109399390923,0.0269390832030934,0.0197788658799878,0.113310419444423
8000,1,80,9000005,3,0.336520082888534,0.276590433962213,0.382825819154011,0.00874515002450518,0.00648585274447257,0.00830617347265285,0.00875857150566147,0.0064888250449506,0.00829339440568821
800,0.01,80,9000006,3,0.30516463413123,0.305623088019464,0.306867271915561,0.0248656780392833,0.0243933172177779,0.024658457440746,0.0250726596213544,0.0245912269129246,0.0248626428027413
8000,0.01,80,9000006,3,0.325449922050281,0.324444479718101,0.326023658138074,0.00876979454216885,0.00877376792676111,0.0088912028783221,0.00878200829528406,0.00878608397437741,0.00890397308452534
800,0.12,80,9000006,3,0.30516463413123,0.297684608642292,0.3112391377537,0.0248656780392833,0.0223955800332671,0.0251729114236266,0.0250726596213544,0.0225456001938774,0.0253718321610663
8000,0.12,80,9000006,3,0.325449922050281,0.310871758522969,0.327323038269979,0.00876979454216885,0.00826761677002346,0.00963966502108159,0.00878200829528406,0.00827749482976855,0.00965492610807558
800,0.23,80,9000006,3,0.30516463413123,0.290414052054198,0.313787117415504,0.0248656780392833,0.0212035258196767,0.0260703733494044,0.0250726596213544,0.0213239513924845,0.0262452471214426
8000,0.23,80,9000006,3,0.325449922050281,0.300532495707839,0.327901745378437,0.00876979454216885,0.00782389444427925,0.0103160523100425,0.00878200829528406,0.00783175055045242,0.010333414373393
800,0.34,80,9000006,3,0.30516463413123,0.284505749575829,0.31582983939247,0.0248656780392833,0.0203577326243434,0.0271085821265601,0.0250726596213544,0.0204574484548056,0.0272435259162514
8000,0.34,80,9000006,3,0.325449922050281,0.292672030978983,0.328264476452746,0.00876979454216885,0.00747110981839544,0.0109756533060623,0.00878200829528406,0.00747749166630969,0.0109949770525641
800,0.45,80,9000006,3,0.30516463413123,0.27967350536296,0.317572615329879,0.0248656780392833,0.0197204653549937,0.0284975248785299,0.0250726596213544,0.0198046921954403,0.0286317778613737
8000,0.45,80,9000006,3,0.325449922050281,0.286539315611867,0.328493876176355,0.00876979454216885,0.00718821952110012,0.0116223617331943,0.00878200829528406,0.00719351071377575,0.0116435009969498
800,0.56,80,9000006,3,0.30516463413123,0.275663478219627,0.319523227245199,0.0248656780392833,0.0192213063943033,0.0342692375608649,0.0250726596213544,0.019293442057495,0.03799651815874
8000,0.56,80,9000006,3,0.325449922050281,0.281637338078273,0.328560049024912,0.00876979454216885,0.00695750714743,0.0121418162396137,0.00878200829528406,0.00696197156510027,0.012164357666673
800,0.67,80,9000006,3,0.30516463413123,0.272287011057016,0.457998947066898,0.0248656780392833,0.018819015036861,0.0168290422606327,0.0250726596213544,0.0188814363975622,0.0169423494911826
8000,0.67,80,9000006,3,0.325449922050281,0.277636885440586,0.328071309213026,0.00876979454216885,0.00676618776626505,0.0119651344589635,0.00878200829528406,0.00677001075679687,0.0119919737022398
800,0.78,80,9000006,3,0.30516463413123,0.269406365885269,0.421230344363744,0.0248656780392833,0.0184875164686189,0.0120507159299575,0.0250726596213544,0.0185419705128926,0.0130776309399928
8000,0.78,80,9000006,3,0.325449922050281,0.274314177320629,0.326854132996413,0.00876979454216885,0.00660515762449125,0.0127824074928855,0.00878200829528406,0.0066084727652438,0.0128106455616032
800,0.89,80,9000006,3,0.30516463413123,0.26692004835731,0.344021994772188,0.0248656780392833,0.0182094218585301,0.0137057170832326,0.0250726596213544,0.0182572377224942,0.0139695309849181
8000,0.89,80,9000006,3,0.325449922050281,0.271512753794817,0.327155271205006,0.00876979454216885,0.00646785044696642,0.00874414946910043,0.00878200829528406,0.00647075635599315,0.00896808846912297
800,1,80,9000006,3,0.30516463413123,0.26475210124962,0.353883649160115,0.0248656780392833,0.0179726538490151,0.0137628961261317,0.0250726596213544,0.0180148685176586,0.0140980897600047
